Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Hoot 01;Hoot Antink, Weymann, Ohls;Monika T.;Musiktherapeutische Umschau. Forschung und Praxis der Musiktherapie ;2019;Stimme, Selbstwert, Gruppentherapie, Depressionsbehandlung, Depressionen, Autismus, Leib musikalische Resonanzbereitschft;;0172-5505;Deutsch
Hoot 01a;Hoot Antink, Weymann, Ohls;Monika T.;Musiktherapeutische Umschau. Forschung und Praxis der Musiktherapie ;2019;Stimme, Selbstwert, Gruppentherapie, Depressionsbehandlung, Depressionen, Autismus, Leib musikalische Resonanzbereitschft;;0172-5505;Deutsch
Hoot 01b;Hoot Antink, Weymann, Ohls;Monika T.;Musiktherapeutische Umschau. Forschung und Praxis der Musiktherapie ;2019;Stimme, Selbstwert, Gruppentherapie, Depressionsbehandlung, Depressionen, Autismus, Leib musikalische Resonanzbereitschft;;0172-5505;Deutsch
Jochims;Jochims;Silke;Musiktherapie in der Neurorehabilitation;2005;Neurorehabilitation. Konzepte, Forschung, Praxis, Neurologie;Das vorliegende Buch spannt den weiten Bogen zwischen Neurorehabilitation und Musiktherapie. Es gibt einen Überblick über den Stand internationaler musiktherapeutischer Forschungsaktivität und aktuelle Behandlungsansätze bei vielen neurologischen Krankheitsbildern. Die mit Kenntnis, Bedacht und Einfühlungsvermögen zusammengestellten Einzelbeiträge machen die Bedeutung der Musiktherapie für die Wiederherstellung geschädigter höherer Hirnleistungen deutlich. Sowohl die Beiträge zur Behandlung funktionaler motorischer, sensorischer und kognitiver Defizite als auch zu Interventionen im emotionalen, krankheitsverarbeitenden und interaktiv-kommunikativen Bereich vermitteln allen in der neurologischen und neurochirurgischen Rehabilitation Tätigen tiefe Einblicke in den derzeitigen Stand von Forschung und Praxis. Die Herausgeberin präsentiert die Musiktherapie aus internationaler Sicht, um sowohl der sehr divergenten Entwicklung der Konzepte als auch der länderspezifisch sehr unterschiedlichen Zuordnung zu Krankheitsbildern aus Neurologie oder Neurorehabilitation Rechnung zu tragen. Die synoptische Darstellung macht deutlich, dass der wissenschaftliche Streit um das einzig richtige musiktherapeutische Konzept zwischen den anerkannten Schulen im Grunde unnötig ist und im Alltag nicht weiterführt.;3-936817-19-7;Deutsch
Kemmelmeyer, Probst;Kemmelmeyer, Probst;Karl-Jürgen;Quellenbesteuerung zur Pädagogischen Musiktherapie. Zur genese eines Faches;1981;Pädagogik, Grundlagen, Entstehung;;3-7649-1350-9;Deutsch
Klein;Klein;Melanie;Das Seelenleben des Kleinkindes und andere Beiträge zur Psychoanalyse;2015;Psychoanalyse, Kleinkinder, Kinder, Seele;Dieser Band vereinigt die wichtigsten Arbeiten, die Melanie Klein im Laufe ihres Lebens veröffentlicht hat. Den Mittelpunkt ihrer Forschungen bildet die Kinderanalyse, die durch die von ihr entwickelte Spieltechnik erst ermöglicht worden war. Die Kinderanalyse eröffnete ihr den Zugang zu den frühkindlichen Konflikten und erlaubte ihr, die Erkenntnisse Freuds aus der direkten analytischen Beobachtung abzuleiten und zu bestätigen. Die weiteren Arbeiten des vorliegenden Bandes zeigen Melanie Klein hauptsächlich als Klinikerin und als einfühlsame Beobachterin unbewusster Prozesse.;978-3-608-94722-9;Deutsch
Knill;Knill;Paolo J.;Ausdruckstherapie, Künstlerischer Ausdruck in Therapie und Erziehung als intermediate Methode;1992;Ausdruckstherapie;Dieses Buch ist der Versuch einer umfassenden Darstellung der Ausdruckstherapie als intermediate Methode für alle therapeutischen, sonderpädagogischen und pädagogischen Praxisfelder. Praktische Handlungsmodelle, wie Musik, Bewegung, Szene, Malen/bildnerisches Gestalten, Sprache usw., die gezielt zur Streuerung von Gruppenprozessen bei Kindern, Jugendlichen und Erwachsenen eingesetzt werden können, sind in diesem Buch mit zahlreichen Schautafeln verbunden, die die Einsetzbarkeit der Medien, deren Wirkung und deren spätere Bearbeitung veranschaulichen helfen - vor dem Hintergrund der verwandten Therapien wie Gesprächstherapie, Psychodrama, Musiktherapie, Kunsttherapie u.a. Als psychotherapeutische Sonderform.;3-87204-417-6;Deutsch
Siehe Schwertfeger, Bärbel;Koch;Klaus;Der Therapieführer. Die wichtigsten Formen und Methoden;1989;;Therapeutische Hilfe - aber wie? Wann ist eine Therapie angezeigt? Was ist Psychosomatik? Wie lange dauert und was kostet eine Therapie? Wann sollte man einen Psychologen und wann einen Psychotherapeuten aufsuchen? Was ist der Unterschied zwischen Neurose und Psychose? Präzise Antworten auf diese und viele weitere Fragen stellen Bärbel Schwertfeger und Klaus Koch in diesem Standartwegweiser durch das Therapieangebot. Sie stellen die wichtigsten Psychotherapien vor und geben eine Fülle praktischer Hinweise.;;Deutsch
Kreutz;Kreutz;Gunter;Warum singen glücklich macht;2014;Singen, Glück, Wohlbefinden;"Warum singen wir so gerne miteinander? Sind Menschen glücklicher, die über Jahre und Jahrzehnte in einen Chor gehen? Ist Singen vielleicht sogar gesund? Singen – und zwar nicht nur an Geburtstagen oder zu Weihnachten – ist weder aus der Evolution des Menschen noch aus seiner Entwicklung vom Säugling bis ins hohe Alter wegzudenken. Mehr noch: Gemeinsames Singen steigert das Wohlbefinden, stärkt Abwehrkräfte und Atmung, schützt vor Stimmproblemen und verbindet uns über alle Generationen und Lebenslagen hinweg miteinander. 

Singen im Chor ist also nicht nur etwas für Überzeugungstäter, sondern kann helfen, wenn es uns einmal schlecht geht. So können Menschen mit gesundheitlichen Problemen das Singen als rezeptfreie und nebenwirkungsarme Therapie mit Spaßfaktor entdecken. Dieses Buch bringt die wissenschaftlichen Erkenntnisse der Psychologie und Hirnforschung auf den Punkt und verrät, wie und warum Singen glücklich macht.
";978-3-8379-2395-7;Deutsch
Kuntsche;Kuntsche;Annette;Kinder mit schweren Behinderungen in der Musiktherapie. Zwischen annehmen, spüren, Begegnen und entdecken;2011;Behinderung, ;Aus der musiktherapeutischen Arbeit entstand ein Konzeptentwurf für die EInzelmusiktherapie mit Kindern und Jugendlichen mit schweren Behinderungen. Die Autorin führt grundlegend in das Thema ein, indem sie die Situationen on Kind und Therapeut*in, gesellschaftliche Einflusfaktoren wie auch die Wirkungsweise der Musik erörtert. Es folgen Überlegungen zu Zielsetzungen und Rahmenbedingungen einer musiktherapeutischen Behandlung in Abgrenzung zu pädagogischem Arbeiten. Vorschläge zur konkreten theoriegeleiteten Praxis werden durch Fallvignetten aus einer Einzelmusiktherapeutie veranschaulicht.;978-3-89500-841-2;Deutsch
Kümmel;Kümmel;Werner-Friedrich;Musik und Medizin. Ihre Wechselbeziehungen in Theorie und Praxis von 800 bis 1800;1977;Musik Medizin;Dieses Buch bringt die erste umfassende interdisziplinäre Darstellung der Web Wechselbeziehungen zwischen Musik und Medizin von 800-1800 hinsichtlich ihrer gedanklich theoretischen Berührungspunkte sowie der praktische therapeutischen Anwendung der Musik, erarbeitet aus einem bisher kaum erschlossen in medizinischen, Musik theoretischen und kulturgeschichtlichen Quellmaterial. Die große Zahl der ins Deutsche übersetzen Quellen und die Abbildung gewähren unmittelbaren Einblick in eine Fülle von Einzelaspekte des Themas. Von den in der antike geschaffenen Voraussetzungen Herr nahm die Musik, wie Kümmel zeigt, Jahrhunderte lang einen festen Platz in der Medizin ein, sowohl im Rahmen der die fertig zum Schutz der Gesundheit als auch bei der kranken Behandlung. Damit wird eine bisher wenig beachtet Funktion der Musik vor Augen geführt und zugleich ein Kapitel aus der Geschichte der medizinischen die Ethik geschrieben, deren Erforschung erst in den Anfängen steht. Darüber hinaus würdigt der Verfasser erstmals gebührend die Bedeutung und Eigenständigkeit des Mittelalters auf diesem Gebiet, insbesondere die entscheidende Rolle der arabischen Ärzte und Gelehrten. Der Musik therapeutisch engagierte Arzt und der im weitesten Sinne kulturgeschichtlich interessierte Leser lernten Kümmels Werk psychosomatische Beobachtung und Überlegungen frühere Zeiten kennen, die auf Institution und Erfahrung beruhen und – Abgleich vom modern medizinischen Denken weit entfernt – teilweise zu erstaunlichen Einsichten und Behandlungsfolgen führten.          ;3-495-49602-5;Deutsch
Lauchauer;Lauchauer;Rudolf;Der Fokus in der Psychotherapie. Fokalsätze und ihre Anwendung in Kurztherapie und anderen Formen analytischer Psychotherapie;1992;Psychotherapie, Fokalsätze;"Die Erarbeitung einer Hypothese über die zentrale unbewusste Dynamik eines aktuellen Problems oder Symptoms des Patienten steht im Mittelpunkt dieses Buches. Schritt für Schritt wird die Bildung eines Fokalsatzes an zahlreichen Fallbeispielen eingeübt; ein zweiter Teil erklärt die Anwendung des Fokalsatzes in der Therapie. Ein unverzichtbares Verfahren in Kurztherapie, Krisenintervention und psychologischer Beratung, aber auch bei langfristigen Psychoanalysen.";3-7904-0593-0;Deutsch
LSV;Landschaftsverband ;Rheinland;Kreativtherapien Wissenschaftliche Akzente und Tendenzen;2003;Psychiatrie, Heilpädagogik;Behandelt die Therapieansätze der: Dramatherapie, Kunsttherapie, Musiktherapie, Tanztherapie und Kreativtherapie;3924182558;Deutsch
Langen;Langen;Dietrich;Autogenes Training. ;;Autogenes Training, Anleitungq;Ruhe und Kraft im Alltag. Das Autogene Training praktisch angewandt, vermittelt RUhe und Gelassenheit im Alltag. In den Überungen, Ruhe-, Schwere-, Wärme-, und Atem-Übung, kommen Körper ud Seele zu einer tiefen Entspannung. Individuelle Formeln helfen bei persönlichen Problemen. Dieser Ratgeber, der die von Professor Langen vereinfachte Form der konzentrativen Selbstentspannung vorstellt, hilft jedem Gesunden, das Autogene TRaining zu erlernen, uns es jeder Zeit und überall durchzuführen - zum Abschalten, Loslassen, Erholen.;3-7742-2194-4;Deutsch
Leidecker;Leidecker;Klaus;Musik als Begegnung. Schöpferisches Handeln zwischen Pädagogik und Therapie;2002;Pädagogik, Begegnung;"Unsere Zeit fordert Besinnung auf ureigene Krafte der Musik als Profession im Spannungsfeld zwischen Kunst, Padagogik und Therapie und gleichzeitig ihre naturliche Einbindung in aktuelle gesellschaftliche Problemstellungen: Musik als Begegnung ""sucht"" den Menschen auf - als Ubenden, als Lernenden, als Sich-Entwickelnden, als Klienten ... - im Kontakt mit seinen individuellen Kraftquellen, im Kontakt mit der Welt als Komposition, als Spiegel. Musik kann Seismograf und Wegbegleiter sein, davon erzahlt dieses Buch. Als Themenbereiche werden Akustische Okologie, Elementare Musik, auch Beitrage zur Musikanthropologie angesprochen sowie methodisch-didaktische Ansatze aus der Werkstatt-Arbeit des Autors mit Musik- und Sozialpadagogik-StudentInnen. Musik als Begegnung meint auch Raume musikalisch-therapeutischer Wahrnehmung, Begegnung, Methode: Die Studie ""Klange der Betaubung"" skizziert Wege musiktherapeutischen Handelns in der Arbeit mit Alkoholikern. Als Adressaten dieser Schrift sind MusikpadagogInnen, SozialpadagogInnen, Musiker, Musiktherapeuten, auch andere TherapeutInnen oder verwandte Ausbildungen und Berufe angesprochen. Es sind ""Horende"" gemeint, Menschen, die hin-, zu-, dazwischenhoren und -horchen wollen und die Entwurfe des Autors auch als Ermutigung verstehen, ihre eigenen musikalisch-schopferischen Wege zu suchen, zu finden und zu verwirklichen. Eine padagogische bzw. therapeutische Haltung der Ermutigung ist dem Autor in seiner praktischen Arbeit von besonderer Bedeutung. Diese Ermutigung vermag u. a. besondere Impulse fur das je eigene Entwickeln von Kreativitat zu geben und heilsame Erkenntnisprozesse auszulosen.";3-89500-256-9;Deutsch
Leuner;Leuner;Hanscarl;Katathymes Bilderleben. Grundstufe. Einführung in die Psychotherapie mit der Tagtraumtechnik. Ein Seminar;1982;Tagtraumtechnik, Katathymes Bilderleben;Die Tagtraumtechnik des Katathymen Bilderlebens durchzieht eine klare Struktur bis hin zu seiner didaktischen Gliederung in Grund-, Mittel- und Oberstufe. Trotzdem erlaubt das Verfahren die freie assoziative und kreative Entfaltung des Tagtraumphantasien. Dieses Buch beschränkt sich auf die besonders wichtige Grundstufe. In leicht lesbarer seminaristischer Darstellung führt es Leser ein, die ihre erste Bekanntschaft mit dem Katathymen Bilderleben machen wollen. Gleichzeitig ist es eine Hilfe für diejenigen, die ihr in Kursen und Seminaren gewonnenes Wissen für eine zukünftige therapeutische Tätigkeit festigen und ergänzen möchten.;3-13-464403-7;Deutsch
Leuzinger-Bohleber;Leuzinger-Bohleber;Marianne;Frühe Kindheit als Schicksal? Trauma, Embodiment, Soziale Desintegration. Psychoanalytische Perspektiven. Mit kinderanalytischen Fallberichten von Angelika und Rose Ahlheim;2009;Frühe Kindheit, Trauma, Embnodiment, Soziale Desintegration, Psychoanalyse, Fallbeispiele;Die soziale Schere zwischen Kindern, denen alle Türen zu einer attraktiven Zukunft offen stehen, und jenen, die am Rande der Gesellschaft aufwachsen, klafft immer weiter auseinander. Die Förderung und Integration sozial Benachteiligter gelingt in Deutschland häufig nur unzureichend. Die Autorin zeigt vor dem Hintergrund nationaler wie internationaler Studien die Grundlagen und Möglichkeiten einer spezifisch psychoanalytisch fundierten Theorie und Praxis der Frühprävention auf, die auch neuere Befunde der Neurowissenschaften und der Embodied Cognitive Science mit einschließen. Eine Vielfalt verschiedener psychoanalytischer Theorien der Frühentwicklung wird gut verständlich zusammengefasst. Ausführliche Behandlungsberichte aus Kindertherapien geben dabei anschauliche Einblicke in Indikation, psychodynamische Diagnostik, behandlungstechnische Aspekte sowie in den therapeutischen Prozess mit Kindern in seelischer Not.;978-3-17-020344-0;Deutsch
Mahns;Mahns;Beate;Musiktherapie bei verhaltensauffälligen Kindern. Praxisberichte und Versuch einer Neuorientierung;1997; verhaltensauffällige Kinder, Praxisberichte, Neuorientierung;"Auf wachsen war noch nie kinderleicht – und es wird zunehmend schwieriger. Da immer mehr Jugendliche und Kinder erkranken, leiden unter Herz – Kreislauf – Erkrankungen, Schlafstörungen und vielseitigen anderen Stresssymptomen. Wo finden sich Ansätze für die Unterstützung und Konfliktlösung, wenn die Probleme zu groß werden? Musiktherapie stellt hier einen wichtigen Raum bereit; einen Raum zum spielen und verstehen, in dem Zwischenwelten ausprobiert und Beziehung hergestellt und verändert werden können. Der Mittelpunkt des Bandes steht die Arbeit mit Ole, einem kontaktgestörten Achtjährigen. Die ausführliche Darstellung durch die Autorin vermittelt einen Lebendigen Eindruck des Facetten reichen Geschehens in einer Einzelmusiktherapie.  Im Laufe von 30 Therapiesitzungen werden die Rätsel und Verwirrungen in der Innenwelt Oles offenbar. Von dieser Praxis Darstellung aus werden vor dem Hintergrund psychoanalytische Erkenntnistheorie einerseits und kritische Heilpädagogik andererseits methodische Fragen abgeleitet und vertieft. So liegt mit diesem Band das Konzept einer psychoanalytische orientierten Kindermusiktherapie vor, dass die bisher gängigen Ansätze erweitert und konkretisiert. Das Buch bietet gleichermaßen Anregung für Pädagog*innen und Musiktherapeut*innen in Praxis komme aus Bildung und Forschung.";3-437-21028-9;Deutsch
Mahns01;Mahns;Wolfgang;"Ein Schülermord im Oktober ""Ist eine Kitty Schmitt Schülerin an Ihrer Schule?"" Protokoll einer schulischen Aufarbeitung";2008;Protokoll Aufarbeitung von Schülermord an einer Schule;"Der Mord an der siebenjährigen Schülerin Kitty Schmitt hat vor einigen Jahren Hamburg erschüttert. Der Autor hat die Betroffenen bei der Bewältigung von Trauer und Wut begleitet und beschreibt den Prozess vom Ereignis bis zur Trauerfeier und darüber hinaus. Er verknüpft dabei schulische Sofortmaßnahmen mit Theorien zu Trauer, Trauma und Krisenmanagement. Er fordert soziale Einrichtungen dazu auf, Notfallpläne auch für psychosoziale Extremsituationen aufzustellen: „Es ist gut, auf das Unmögliche eingestellt zu sein.“ 
Das Buch richtet sich an alle diejenigen, die Verantwortung tragen in Kita, Schule, Sonderschule, Jugendzentrum, Diskothek, Stadtteilzentrum u.ä. Es wird empfohlen für Beratungs- und Unterstützungsstellen, Jugendämter, Soziale Dienste, Schularztstellen, Schulämter, Kultusministerien, Polizeidienststellen u.ä. und soll Diskussionsprozesse über das Krisenmanagement bei extremen Gewaltvorfällen fördern. 

Dr. Wolfgang Mahns (M.A.) ist seit über 25 Jahren als Sonderpädagoge und Musiktherapeut in Praxis und Ausbildung tätig. Er studierte in Hamburg, Herdecke, Aalborg und Kaiserslautern, leitete seit 2003 eine Grundschule und seit 2008 eine Sonderschule in Hamburg.";978-3-937212-29-6;Deutsch
Mahns02;Mahns;Wolfgang;Symbolbildung in der analytischen Kindermusiktherapie. Eine qualitative Studie über die Bedeutung der musikalischen Improvisation in der Musiktherapie mit Schulkindern;2004;Analytische Musiktherapie, Kinder, Schulkinder, improvisation, Deutung;"Was ist es, das Wirkung und Bedeutung im musikalischen Tun ausmacht? Die Themenfelder analytische Kindermusiktherapie, Schule, Symbolbildung sowie musiktherapeutische Improvisation bilden den Kontext für das qualitative Forschungsdesign der vorliegenden Studie. Im Zentrum steht ""Osman"", ein Junge, der aufgehört hat zu sprechen. Eine exemplarische Episode wird mikroanalytisch beschrieben und mehrdimensional ausgeleuchtet. Hierauf gründet sich die Theorie einer Geburt von Symbolen in der Musik. ""Das Eigentliche ist unsichtbar"", sagt der Fuchs zum kleinen Prinzen. Das Eigentliche der Musik ist mit Hilfe qualitativer Verfahren gleichwohl nachvollziehbar. Das vorliegende Buch ist ein Beitrag zur qualitativen Forschung in der Musiktherapie. Für alle, die sich als Lehrende, Lernende oder Interessierte mit Praxis, Theorie und Erforschung der musiktherapeutischen Interaktion befassen, bildet es eine wichtige Informationsquelle und Orientierungshilfe.";3-8258-4037-9;Deutsch
Mahns02a;Mahns;Wolfgang;Symbolbildung in der analytischen Kindermusiktherapie. Eine qualitative Studie über die Bedeutung der musikalischen Improvisation in der Musiktherapie mit Schulkindern;2004;Analytische Musiktherapie, Kinder, Schulkinder, improvisation, Deutung;"Was ist es, das Wirkung und Bedeutung im musikalischen Tun ausmacht? Die Themenfelder analytische Kindermusiktherapie, Schule, Symbolbildung sowie musiktherapeutische Improvisation bilden den Kontext für das qualitative Forschungsdesign der vorliegenden Studie. Im Zentrum steht ""Osman"", ein Junge, der aufgehört hat zu sprechen. Eine exemplarische Episode wird mikroanalytisch beschrieben und mehrdimensional ausgeleuchtet. Hierauf gründet sich die Theorie einer Geburt von Symbolen in der Musik. ""Das Eigentliche ist unsichtbar"", sagt der Fuchs zum kleinen Prinzen. Das Eigentliche der Musik ist mit Hilfe qualitativer Verfahren gleichwohl nachvollziehbar. Das vorliegende Buch ist ein Beitrag zur qualitativen Forschung in der Musiktherapie. Für alle, die sich als Lehrende, Lernende oder Interessierte mit Praxis, Theorie und Erforschung der musiktherapeutischen Interaktion befassen, bildet es eine wichtige Informationsquelle und Orientierungshilfe.";3-8258-4037-9;Deutsch
Mahns03;Mahns, Ruud;Wolfgang;Meta-Musiktherapie. Wege zu einer Theorie der Musiktherapie;;;;;
Marhold;Marhold;Konrad Josef;Musikinstrumente für Behinderte;1976;Menschen mit Behinderung, Barrierefreie Instrumente ;"""Das schafft er nie"", diesen und ähnliche Aussprüche hörten wir von Eltern und Erziehern all unserer Versuchs Personen, und eben diese so weit verbreitete Haltung der Umgebung unserer Behinderten war Motivation zu vorliegen der Schrift und der ihr zu Grunde liegenden Versuche.";3– 7864 – 1808 – X;Deutsch
Marinovici;Marinovici;Cesar;Gehörbildung. Aber wie? Nicht rechnen sondern hören!;2000;Gehörbildung;Nicht hören, sondern rechnen. Ein zielorientierter Lehrgang mit CD vermittelt den natürlichsten und schnellsten Weg zur Bildung des musikalischen Gehör, der in jedem liegt. Mit zahlreichen Intervall- und Akkordtabellen und Melodiediktaten. Alle Intervall- und Akkordvarianten sind auf der CD hörbar und mit einer Kontrolltabelle überprüfbar. Für Musikstudenten- und Lehrer und den Bereich Musikausbildung sowie zum Selbststudium.;3-928825-74-7;Deutsch
Mehner;Mehner, Koch;Anja;Handbuch Psychoonkologie;2016;Psychoonkologie;Die psychosoziale Unterstützung von Patientinnen und Patienten mit einer Krebserkrankung und Ihren Angehörigen stellt einen wichtigen Aspekt einer umfassenden onkologischen Versorgung dar. Die Zielsetzungen des Handbuches ist es, dem Leser eine orientieren der Einführung in aktuelle Entwicklungen in der onkologischen Behandlung und Versorgung von Patienten zu geben sowie über verhaltensbezogene und psychosoziale Risikofaktoren der Krebsentstehung zu informieren. Die einzelnen Kapitel behandeln Krankheit spezifische psychosoziale Belastungen im Hinblick auf spezifische Patientengruppen und das Behandlungsteam, einschließlich Aspekte der Krankheits Verarbeitung und der kurz – wie längerfristigen psychosozialen Krankheits folgen. Des weiteren gibt es Handbuch einen Überblick über den Stand der Forschung zur Diagnostik und Kommunikation, zu psychosoziale Interventionen bei Krebs sowie zur aktuellen Entwicklung der psychoonkologische Versorgung und der Versorgungsforschung.;978 – 3 – 8017 – 2474 – 0;Deutsch
Menztos;Menztos;Stavros;Neurotische Konfliktbearbeitung;1982;Psychoanalyse, Neurosen;Stavros Mentzos, Psychiater und Psychoanalytiker, 1930 in Athen geboren, leitet seit 1971 die ABteilung der Psychotherapie und Psychosomatik der Johann-Wolfgang-Goethe-Universität Frankfurt am Main. Im vorliegenden Buch stellt er zum ersten Mal umfassend eine psychoanalytische Neurosenlehre unter neuen Perspektiven vor. Obwohl der Autor von einer sich im Wandel befindlichen Psychoanalyse ausgeht, bemüht er sich um vorläufige Integration. Dazu entwickelt er mit Hilfe origineller Konzept ja Lizzie rungen einen neuen bezugsrum, innerhalb des Entstehen einer flexiblen und realitätsnahen Systematik neurotischer Störungen möglich wird. Die Fülle der klinischen Beispiel erleichtert das Verständnis. Eine Einführung für dem nicht Fachmann, ist ein wichtiger Diskussionsbeitrag für Psychologen und Psychotherapeuten.;3-463 – 02239 –7;Deutsch
Metzner01;Metzner;Susanne;Faszination Musiktherapie. Hommage an Hans-Helmut Decker-Voigt;2005;Anfänge der Musiktherapie;Anlässlich des 60. Geburtstages von Hans-Helmut Decker-Voigt beschreiben 32 Autoren ihre (ersten) Erfahrungen mit Muisktherapie. Darstellungen persönlicher Begegnungen, Retrospektiven des eigenen Lebenswegs, fachliche Reflexionen - in diesem Spektrum spiegelt sich eine überaus heterogene Berufsgruppe, ihre Ideengeschichte, ihre Kultur und ein großer Teil ihres Kommunikationsnetzwerks.;3-87204-436-2;Deutsch
Metzner01a;Metzner;Susanne;Faszination Musiktherapie. Hommage an Hans-Helmut Decker-Voigt;2005;Anfänge der Musiktherapie;Anlässlich des 60. Geburtstages von Hans-Helmut Decker-Voigt beschreiben 32 Autoren ihre (ersten) Erfahrungen mit Muisktherapie. Darstellungen persönlicher Begegnungen, Retrospektiven des eigenen Lebenswegs, fachliche Reflexionen - in diesem Spektrum spiegelt sich eine überaus heterogene Berufsgruppe, ihre Ideengeschichte, ihre Kultur und ein großer Teil ihres Kommunikationsnetzwerks.;3-87204-436-2;Deutsch
Metzner01b;Metzner;Susanne;Faszination Musiktherapie. Hommage an Hans-Helmut Decker-Voigt;2005;Anfänge der Musiktherapie;Anlässlich des 60. Geburtstages von Hans-Helmut Decker-Voigt beschreiben 32 Autoren ihre (ersten) Erfahrungen mit Muisktherapie. Darstellungen persönlicher Begegnungen, Retrospektiven des eigenen Lebenswegs, fachliche Reflexionen - in diesem Spektrum spiegelt sich eine überaus heterogene Berufsgruppe, ihre Ideengeschichte, ihre Kultur und ein großer Teil ihres Kommunikationsnetzwerks.;3-87204-436-2;Deutsch
Metzner01c;Metzner;Susanne;Faszination Musiktherapie. Hommage an Hans-Helmut Decker-Voigt;2005;Anfänge der Musiktherapie;Anlässlich des 60. Geburtstages von Hans-Helmut Decker-Voigt beschreiben 32 Autoren ihre (ersten) Erfahrungen mit Muisktherapie. Darstellungen persönlicher Begegnungen, Retrospektiven des eigenen Lebenswegs, fachliche Reflexionen - in diesem Spektrum spiegelt sich eine überaus heterogene Berufsgruppe, ihre Ideengeschichte, ihre Kultur und ein großer Teil ihres Kommunikationsnetzwerks.;3-87204-436-2;Deutsch
Metzner01d;Metzner;Susanne;Faszination Musiktherapie. Hommage an Hans-Helmut Decker-Voigt;2005;Anfänge der Musiktherapie;Anlässlich des 60. Geburtstages von Hans-Helmut Decker-Voigt beschreiben 32 Autoren ihre (ersten) Erfahrungen mit Muisktherapie. Darstellungen persönlicher Begegnungen, Retrospektiven des eigenen Lebenswegs, fachliche Reflexionen - in diesem Spektrum spiegelt sich eine überaus heterogene Berufsgruppe, ihre Ideengeschichte, ihre Kultur und ein großer Teil ihres Kommunikationsnetzwerks.;3-87204-436-2;Deutsch
Mitzlaff 01;Mitzlaff, Niedecken;Sabine;Zerstörung des Denkens im Trauma;2013;Trauma, Traumatherapie;Hier liegt ein Werk vor, das über die Trauma-Konzepte hinaus die Theorien der dabei relevanten Autoren in klarem Licht erscheinen lässt. […] Vor allem sind es die Erweiterungen von Lorenzers Theorien, die den Band so interessant und wichtig machen. Lorenzers Vorstellungen werden vertieft und es wird gezeigt, wie die traumatischen Einschläge ins Ich verborgene Strukturen vorstellbar machen.« (Dr. Wolfgang Leuschner) Bezugnehmend auf psychoanalytische Theorien u. a. von Sigmund Freud, Alfred Lorenzer, Jean Laplanche, Dori Laub und Wilfred Bion suchen die Autorinnen die psychischen Mechanismen in der Traumatisierung theoretisch zu rekonzeptualisieren.;978-3-95558-039-1;Deutsch
Mitzlaff 01a;Mitzlaff, Niedecken;Sabine;Zerstörung des Denkens im Trauma;2013;Trauma, Traumatherapie;Hier liegt ein Werk vor, das über die Trauma-Konzepte hinaus die Theorien der dabei relevanten Autoren in klarem Licht erscheinen lässt. […] Vor allem sind es die Erweiterungen von Lorenzers Theorien, die den Band so interessant und wichtig machen. Lorenzers Vorstellungen werden vertieft und es wird gezeigt, wie die traumatischen Einschläge ins Ich verborgene Strukturen vorstellbar machen.« (Dr. Wolfgang Leuschner) Bezugnehmend auf psychoanalytische Theorien u. a. von Sigmund Freud, Alfred Lorenzer, Jean Laplanche, Dori Laub und Wilfred Bion suchen die Autorinnen die psychischen Mechanismen in der Traumatisierung theoretisch zu rekonzeptualisieren.;978-3-95558-039-1;Deutsch
Morgentahler;Morgentahler;Fritz;Der Traum. Fragmente zur Theorie und Technik der Traumdeutung;1986;Traumdeutung;Ob das ein Traum erinnert wird, ist niemals zufällig. Und es ist auch nicht zufällig oder gleichgültig, ob ein Traum und wem ein Traum erzählt wird. Ein Traum kann vom Träume als belanglos oder bedeutungsvoll beurteilt werden. Seine Beurteilung entspricht dem, was er bewusst mit seinem Traum erlebt. Was er unbewusst durch seinen Traum erlebt, steht in direktem Zusammenhang mit den Begleitumständen des erinnerns, Erzählens und Vergessens. Das vergessen kann im durcharbeiten eines Wiederstandes aufgehoben werden. Das verdrängte wird dann wiederholt, es wird agiert. Auch der Traum ordnet sich den Gesetzmäßigkeiten des Erlebens unter. Die Erweiterung meiner Auffassung vom Traum und der Traumdeutund betrifft also das Erleben des Träumers und aller, die mit diesem Traum konfrontiert werden. Es handelt sich um eine Psychologie des Erlebens, mit der ich die Traumlehre, die sich bisher als eine Psychiologie des Erinnerns, Assoziieresns und Verstehens ausgab, erweiterte.      ;3-88655-215-2;Deutsch
MU;Musiktherapeutische Umschau;;Musiktherapeutische Umschau Forschung und Praxis der Musiktherapie;2007;Meta-Analyse, Holocaust, Kindheit, Forschung, Methodik, Rezeptive Musiktherapie;;0172-5505;Deutsch
